CUI,Canonical name
C0227579,Head of pancreas
C0230360,Structure of right forearm
C0006271,Bronchiolitis
C0029408,Degenerative polyarthritis
C0333311,Sequestrum
C0025148,Medulla Oblongata
C0018246,Inguinal region
C0030283,Pancreatic Cyst
C0230141,Structure of left thoracic cavity
C0332241,Equivocal
C0263772,Coxae malum senilis
C0031939,Pineal gland
C0230443,Structure of left lower leg
C0016536,Forearm
C4303641,Structure of right carotid artery
C0206650,Fibroadenoma
C0333288,Dissecting hemorrhage
C0008524,Structure of choroid plexus
C0228233,Left temporal lobe structure
C0162770,Right Ventricular Hypertrophy
C2937358,Cerebral Hemorrhage
C0456973,Hilar lymphadenopathy
C0040132,Thyroid Gland
C0222819,Bone structure of first rib
C0301559,Screw
C0224868,Tendon of supraspinatus muscle
C0022650,Kidney Calculi
C0227613,Right kidney
C0022907,Lacrimal gland structure
C0456944,Coronary sinus structure
C0008913,Bone structure of clavicle
C0032994,"Pregnancy, Tubal"
C0521108,Recovering from
C0228120,Structure of falx cerebri
C0578735,Axillary lymphadenopathy
C0016427,Follicular cyst
C0181598,Left ventricular assist device
C0033785,Pseudarthrosis
C0225477,Right sphenoid sinus structure
C0032987,Ectopic Pregnancy
C0041321,"Tuberculosis, Miliary"
C0040137,Thyroid Nodule
C0446409,Vertebral level
C0005400,Bile duct structure
C1458136,Renal stone substance
C0085222,Psoas Abscess
C0836916,Abdominal wall structure
C0007874,Cervix Uteri
C0152240,Uterus bilocularis
C0227060,Mandibular left first premolar tooth
C0034196,Pylorus
C0005937,Bone Cysts
C0034186,Pyelonephritis
C0025474,Mesentery
C2004491,Cicatrix
C0225975,Serous portion of pericardium
C0226378,Structure of uterine artery
C0205271,Irregular
C0225990,Large blood vessel structure
C0223185,Body of seventh cervical vertebra
C0030747,Pectoralis Muscles
C0025589,Metatarsophalangeal joint structure
C0011350,Dental Enamel
C0032044,Placenta Accreta
C0224424,Structure of gluteus maximus muscle
C1305773,Entire symphysis pubis
C0225478,Left sphenoid sinus structure
C0030274,Pancreas
C0035237,Respiratory System
C0448311,Extraocular rectus muscle
C1284290,Entire hilum of left lung
C0028863,Muscle of orbit
C0225435,Middle nasal turbinate structure
C0229619,Hemopoietic tissue
C0729890,Iliac vessel
C0036525,Metastatic to
C0227188,Thoracic esophagus
C0162860,Structure of inferior mesenteric artery
C0994163,"Cholangiopancreatography, Magnetic Resonance"
C0024305,"Lymphoma, Non-Hodgkin"
C0226398,Structure of external iliac artery
C0448011,Mental Foramen
C0178802,Pleural cavity
C0019149,Common Hepatic Duct
C0009450,Communicable Diseases
C0228084,Nerve root structure
C0400979,Obstruction of biliary tree
C0223984,Entire second metatarsal
C0003151,Anterior chamber of eye structure
